-1225	1924	-2568	-1245	-356	-10461	-623	2648	-21484	-1547	-2577	-1310	292	-1516	-5823	5201	-4169	-24024	-1109	802	-1255	12263	5808	3559	10440	104660	-10881	-43	-4524	-37894	-1049	-115	-107886	5429	-44	-211	12463	-1421	114191	-8827	24412	7168	5719	-15177	-35016	-19758	-22563	-8850	-32672	19134	87959	3519	-8950	11179	5809	-41962	-45587	-25058	-211	-7430	0	-5109	3400	909	2891	5666	-4445	-1427	-1245	-21154	6980	-4009	5500	433	-211	-21154	-25146	-2916	-2171	6552	114285	1985	-15177	-4076	-951	1281	7279	0	2503	264	-1736	-2916	7950	-49319	-24024	-39408	-5426	-3702	3734	5786
3635	-2171	-86282	-5763	-1037	2768	89964	0	-13066	0	-2129	0	-8681	2962	12809	7652	-49319	3929	-4605	-2047	-1612	0	-9751	30313	3010	3192	2961	1365	-2750	2328	-1054	1726	24086	-66060	368	3697	-7496	-477	-12801	-903	3170	2848	-356	-19955	20315	89625	-48897	15224	-2170	-11198	-2759	31366	-11994	-20263	6454	4885	4241	-40912	284	6562	-7765	216	-5657	1737	-56513	21756	-43	2436	-5763	51729	-1123	8617	6384	5774	2806	0	114261	-2640	24535	7233	-62763	-2150	28218	2975	-71	-7088	-1547	-26706	145	5048	55878	2125	-6354	726	2908	-9861	-3521	-1255	12241	-228
15339	14017	21344	-19623	-86792	16792	16159	-74878	2571	1729	36886	-15763	-564	-10005	-4079	-26237	751	96069	-9861	479	0	3027	34449	4482	-5261	380	-60	1225	-12314	-5208	-3290	-7952	-2789	-17589	5709	1948	-33172	10583	-210	0	-22571	4845	58625	1271	-23025	37983	-7088	943	79791	12556	1906	-74617	-4604	-6892	-175	2841	0	-4605	-1597	-10687	9458	14143	-11766	-35600	1782	-1180	-28773	2058	-337	-651	-15771	3943	3589	-805	3904	51700	7935	-75918	13994	2948	0	58684	96399	-9688	-10309	-13066	-44119	0	-25475	-564	-39324	-1979	-26237	-7550	-30127	-7643	10226	-10687	0	10235
-8378	869	147	3377	19303	1381	-1409	83122	-2170	87711	-1076	-6157	-4604	-2039	7009	7081	-7550	-1571	1648	29372	16375	-465	305	-52231	13495	12719	-56513	-28772	2341	2057	-6980	20237	-2071	12359	4174	12451	-102248	-1517	12890	-3201	24828	-9710	-2161	96335	-1409	58830	-5982	-14619	-111487	23079	-32198	6139	17556	4122	0	-5103	-92939	0	7715	-35085	-303	-3729	17234	2935	-11294	1921	746	48437	-19623	-1413	-7952	901	-6181	5775	81466	-651	-62763	-3201	846	-11921	23666	-156	-38001	62018	77672	-5519	-7586	1837	21915	6188	5364	-75918	7059	4406	4649	1621	-12421	11432	3005	8238
7591	-79800	-3195	-3290	13466	-66062	-2874	-5519	-65916	13500	-1918	9325	-24351	11088	320	-74351	4430	-553	-4728	-568	20410	9619	8762	3326	6521	4700	-2105	126	-3642	48322	1955	39126	7321	0	-805	-762	-15772	3508	-4570	3060	12009	-1190	0	121	-7116	-2628	-9813	-7300	11504	-2011	-217	2233	-87721	-40214	-1973	-2958	10248	4535	-8069	4450	-6501	8146	7542	-8783	1065	2490	-959	36612	3353	-11750	20359	3250	-66060	0	75469	7103	23469	33496	-79800	1152	2809	0	9596	-192	-5720	-83	13416	-2245	0	-12182	-1516	-3201	14979	0	2561	-4728	-3457	20387	9580	5180
3417	-76209	1175	22981	3320	-701	-3408	965	-83	-37611	30353	956	2376	-7386	-15771	-9981	0	40683	22880	-12421	1519	1351	6762	-29482	5525	8135	1852	4146	31698	-1267	22883	-4605	-306	-8348	4640	28441	4216	4288	8572	8209	13825	9689	-8804	9532	-3408	-9547	-83	-4529	36668	5466	2296	10771	1115	2909	31605	-3903	-7522	40950	20032	11401	-5002	-22281	3368	-3321	0	18825	0	23615	-3290	-6668	-5693	-2071	-17589	0	-5755	-15480	6614	33638	3309	0	-6720	7146	-264	453	2401	339	-86	-10394	-1122	6909	2940	33524	-74351	-824	-553	10	1913	1443	68946	-1829
28224	17896	-1428	1168	866	-187	61629	2477	-24193	3878	-26706	-1346	-298	20989	4841	1278	5513	2068	9104	954	5829	1131	-1829	2406	-34142	19218	-563	6778	8179	0	-3227	-5693	7902	1423	-8765	-5755	1527	-97814	6145	8765	1736	5497	7084	9241	61547	-22409	2960	0	19115	0	-30709	-8177	424	9137	-8681	18922	2416	10064	75492	-4224	170	28190	857	21954	-14889	-7878	1068	0	-11214	2970	-18833	17721	0	-4498	2608	2946	-6720	-8062	451	9100	-5390	1816	-14094	3369	-22409	1157	6076	0	-6157	5309	-7386	34171	-20008	27849	2029	9042	-11024	5807	-303	14543
-41459	13906	2105	3641	-37060	13404	-17961	9430	19360	-5006	-10799	-19592	-12182	3528	32	-822	658	139	-3147	-3457	-2708	-122	7956	16563	14233	1144	-11294	18899	-5229	-2357	6936	-1622	-71094	7871	0	14280	21406	6354	13178	13100	-17883	11426	-446	-11367	-1834	-654	6074	-28524	6178	12950	4597	-1006	0	-9268	-746	3857	42315	-125	-1694	-648	-13991	-1297	28162	4722	5821	-26148	1713	2464	22957	12550	26626	1078	-4940	14005	-18911	-24597	6572	87264	-6510	7286	-27933	-3143	-13640	3558	-15672	6251	36717	9142	9303	6582	-944	8846	-40214	-105077	978	41560	-16635	-622	3003	19381
30434	-6510	-3671	7223	15578	43245	-192	-2405	-4457	-86	1859	-10315	-26034	-1777	-9597	3961	-105077	27557	50143	18105	-31273	58264	-45943	6199	-4556	6598	1152	5821	-3088	8308	-995	18838	11697	5616	-2502	56022	25814	4032	-6720	45887	-31236	6153	-3143	-14094	17534	17666	-24193	1889	4879	18196	-3389	-10981	-2039	17905	1575	-8452	7957	8813	9562	20338	58113	-92793	30374	13424	1704	-7300	-57484	-2357	1065	-24597	-18970	-2335	7958	800	346	-18811	0	-3671	24535	-3671	0	-98	-30687	11985	-654	5657	5018	-95647	108377	-212	10235	13181	1256	-11714	27535	50978	-10134	7035	-6501	-14543
-1765	-1065	5250	-3234	-31669	30642	-2628	33558	16146	-5269	3245	-4296	-212	-7993	13966	-30856	-11714	72	10173	-3824	0	-585	-23077	-24102	323	15245	-24724	-13665	-10495	-763	3269	0	-14922	-4141	-15772	16323	2550	19183	4275	12666	14447	-4044	-98	8517	12500	-747	3769	16492	50537	5563	668	-10827	3478	56023	5187	15702	-9588	-10143	28532	-31682	-25633	14425	15770	8209	-2047	-25243	1857	9524	10492	-9712	-30029	7386	-8348	14888	-2860	-1274	-27933	-8021	0	11840	67	-47989	-11580	6248	2106	-296	9402	25847	-10315	-10662	-6899	-8062	-822	5313	-16009	-36669	4498	-2708	49012	7934
0	12788	11863	37838	-441	-11367	-9547	2151	101199	13582	2651	56948	-13768	2447	-66626	-5348	19731	-16009	-36669	0	0	-17453	93	7613	2958	519	-18325	5475	-3053	59267	23808	-30029	41472	35284	-8016	5113	13016	7840	-4155	29	8426	7227	-17968	-1405	3488	3704	241	7798	-1568	0	-8260	18195	2139	-40547	-6809	385	3945	-2565	-20981	-583	-11330	-17453	-1765	3000	6657	-33345	11582	-28548	7410	-18811	-1283	-306	6318	-25650	-110285	17959	0	-7321	-14068	14109	33531	-17968	19656	6093	9588	4996	-368	1938	-4296	25317	3506	6622	-10782	-8715	-8316	14771	-14356	-6037	4942	-45943
-59579	6370	-14174	121132	13282	0	-45107	-7402	1356	5367	12509	-3389	25339	-86563	26344	11259	-8715	17300	14794	-6213	-8612	-1960	4522	934	-12284	-13173	629	64656	-741	28272	-11084	2798	-1042	3852	13885	6407	14524	0	5535	-2623	-16630	-3019	101304	-13640	111	55774	4207	4644	-768	16546	-27055	-1808	8477	-717	1412	2512	6079	-6225	-4007	-6037	765	8027	-17146	1565	15225	-13665	-9721	3879	16330	-3128	79449	852	1488	9515	-60615	-3128	0	20292	3616	-3087	23547	101377	2356	-1940	-3564	-6542	-9910	1807	1287	-7851	-2329	11392	-30856	10721	5286	-916	68594	-31273	-13991	-399
-47934	6108	-22140	182565	18569	5257	-1834	6317	-8708	18376	65937	-12980	1143	8208	9737	-10304	44714	-8316	-916	13211	-5513	27650	64056	28249	47523	-13011	-14889	-1997	4125	8578	182460	10933	58962	6258	716	-2644	-55083	-9712	-27933	75822	-3099	-67456	-3100	-30687	27314	2055	-5033	-1759	-368	-460	7337	-18096	1612	-2752	26376	53667	34010	1825	53583	7032	6287	-14543	40785	-4556	14706	1262	67430	-1663	-8005	-956	-4010	392	-7364	0	108313	-2441	-11643	-1684	6347	-1109	-5532	-3100	7569	38026	3921	210	5664	-3395	50170	2919	-86563	-3671	11215	-9502	-16129	4033	40626	21664	58226	-11516
-17934	-478	25785	901	4273	4984	237	-2278	-3928	6101	-18276	759	709	-8262	-47359	9684	10743	12413	-34997	-48923	32335	0	-23245	-41459	-3112	-2672	5968	4473	-28548	-1918	153490	-4010	846	-13173	14823	-8428	8159	-28606	0	-27927	-17439	3323	-934	-11580	4721	-691	19264	-55498	-12106	-4238	4652	5860	-6899	-3900	7559	12341	-187	-3429	-9611	21595	-1960	-45943	768	252	1943	-60892	-41339	112	-16415	-106573	3559	-19957	7936	7902	31792	-11166	23523	-2418	6064	-14174	2827	-934	-99	12644	-15158	-5033	5947	10470	10204	626	-19906	58016	-10304	10207	-32651	6132	-15154	71754	16548	73194
